,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
FBA_Neuron,290.8714285714279,2.606159373401263e-05,0.006635071090047393,0.24359270376356498,0.002066977338576565
FCLTm_Neuron,412.3928571428536,0.0053403428929157774,0.1279620853080569,0.2836784081742404,0.0033077909558258127
FE2tm_Neuron,475.45714285713905,0.006163148732281899,0.17156398104265402,0.33846647417388515,0.003333347017855234
FORt2m_Neuron,258.9234126984071,1.0244786350110952e-05,0.0018957345971563982,0.2137791286727457,0.0007340169068488371
FPGS2m_Neuron,440.59047619047243,0.005789472507688324,0.17535545023696683,0.2896760021965953,0.003331085368361671
FPGS3m_Neuron,440.59047619047243,0.005789199877211501,0.17535545023696683,0.2896760021965953,0.0033310341002174017
FPGS4m_Neuron,439.92380952380574,0.005788657152612397,0.17440758293838862,0.28951701427003296,0.0033307417355254556
FPGS5m_Neuron,439.92380952380574,0.005788928508518774,0.17440758293838862,0.28951701427003296,0.0033307938813031826
FPGS6m_Neuron,440.59047619047243,0.005789199851701581,0.17535545023696683,0.2896760021965953,0.003331033772912059
FPGS7m_Neuron,440.42380952380574,0.00578954417098661,0.17535545023696683,0.28959648641229757,0.0033310607216269703
FPGS8m_Neuron,440.59047619047243,0.005789471249204956,0.17535545023696683,0.2896760021965953,0.0033310851079622087
FPGS9m_Neuron,440.59047619047243,0.0057891998771524645,0.17535545023696683,0.2896760021965953,0.003331034099537142
FPGSm_Neuron,442.9238095238058,0.005816381635583372,0.17914691943127964,0.2901540154015402,0.0033324399307940113
FTHFLm_Neuron,369.3285714285721,0.0014912312677256402,0.06540284360189573,0.27169714138552664,0.00322199784630152
FUMSO3tm_Neuron,324.14642857142985,0.00011964561261650886,0.008530805687203791,0.259980285855101,0.0023809748235777473
FUMSO4tm_Neuron,313.48333333333414,4.269229088206162e-05,0.006635071090047393,0.2549540840985984,0.002183805943072566
FUMTSULtm_Neuron,310.22976190476203,6.673679081208359e-05,0.006635071090047393,0.25227164036346245,0.002184287824281869
FUMm_Neuron,385.03809523809457,0.0027973076970994443,0.08720379146919431,0.2758169934640523,0.00326612346112566
FUMtm_Neuron,390.04523809523783,0.0010928325426443248,0.047393364928909956,0.3093841642228739,0.0031674852019870684
G3PD2m_Neuron,297.5507936507969,0.00010484152434497329,0.012322274881516588,0.22850335715832792,0.0025873734318063424
G5SDym_Neuron,420.47619047618656,0.005538046786843608,0.14312796208530806,0.28498109130199895,0.003317233705057465
G6PDH2r_Neuron,405.8869047619027,0.0017829412188914468,0.06635071090047394,0.31492537313432833,0.0032342784157637053
GAPD_Neuron,412.5535714285687,0.0018218081111115094,0.07582938388625593,0.3169119855812556,0.0032517419361581036
GCALDDm_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.003324841838739539
GCC2am_Neuron,422.4761904761865,0.005550482685290325,0.14407582938388627,0.2862957937584803,0.0033176247248709228
GCC2bim_Neuron,333.76547619047716,0.00032646103483825105,0.013270142180094787,0.26302667663924206,0.0026854159913847694
GCC2cm_Neuron,416.05952380951993,0.005469478954678231,0.13554502369668248,0.2841368165903582,0.0033128354960267697
GCCam_Neuron,422.4761904761865,0.005550482685290325,0.14407582938388627,0.2862957937584803,0.0033176247248709115
GCCbim_Neuron,333.76547619047716,0.00032646103483825105,0.013270142180094787,0.26302667663924206,0.0026854159913847846
GCCcm_Neuron,416.05952380951993,0.005469478954678231,0.13554502369668248,0.2841368165903582,0.0033128354960267545
GHMT2rm_Neuron,385.4880952380945,0.0029470741110964828,0.08909952606635071,0.2752413253326376,0.0032695343241447112
GHMT3m_Neuron,414.4761904761867,0.005352245583126401,0.13080568720379146,0.2842899488008623,0.0033099691006951417
GLACOm_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.003324841838739557
GLNtm_Neuron,337.77023809524053,5.982836890144776e-05,0.0037914691943127963,0.2877795962902346,0.0017418740860617192
GLU5Km_Neuron,369.73571428571495,0.0015371803750196455,0.06635071090047394,0.2719773137406548,0.0032269492123426337
GLUDxm_Neuron,443.25714285713906,0.00610364751011692,0.17914691943127964,0.2904735682819383,0.0033325114703832612
GLUDym_Neuron,440.75714285713906,0.006008230449617596,0.17440758293838862,0.29007423700852353,0.0033308213230406163
GLUNm_Neuron,397.16190476190275,0.0033470585314292547,0.1042654028436019,0.2788791964049696,0.0032876310765673146
GLUTCOADHm_Neuron,425.72619047618656,0.0055848575498984344,0.14976303317535544,0.2868406742794997,0.00332016486374699
GLUVESSEC_Neuron,459.77619047618276,0.002056071850343746,0.09004739336492891,0.36926846342317116,0.0032763316650113133
GLUt2m_Neuron,487.56428571428194,0.006288708644742374,0.19146919431279621,0.34231018818948733,0.0033397506759235787
GLYATm_Neuron,335.083333333334,0.0007346390596640221,0.037914691943127965,0.2560058238291677,0.0031095871002250557
GLYCLTDym_Neuron,413.55952380952016,0.005354463600612708,0.13080568720379146,0.2837547068316299,0.0033098804676914644
GLYCt_Neuron,247.28333333332813,2.865677863671132e-07,0.0018957345971563982,0.22140608604407136,0.0006689974403862037
GLYCtm_Neuron,287.19206349206365,3.8175001870775385e-05,0.0018957345971563982,0.23361381753764393,0.0008910293002830855
GLYKm_Neuron,426.58333333332945,0.005557165594516108,0.15165876777251186,0.2869186837095458,0.0033213764702706094
GLYOXm_Neuron,427.0333333333295,0.005836647332635136,0.15071090047393365,0.2872311462020147,0.0033209342011366726
GLYtm_Neuron,339.36190476190694,0.0001851736048743337,0.009478672985781991,0.28567560249119955,0.002476025842287079
GND_Neuron,301.3333333333325,0.00011652718307982087,0.013270142180094787,0.24946795932844645,0.002643766468183271
GTHOm_Neuron,413.0595238095202,0.005369598408763707,0.12985781990521328,0.2836784081742404,0.003309330414822464
GTHPm_Neuron,378.345238095238,0.002797266598226066,0.07772511848341232,0.2741683991683992,0.0032520729651793843
H2CO3Dm_Neuron,388.7380952380942,0.003275983245373925,0.09573459715639811,0.27588912133891214,0.003278304871046299
H2O2t_Neuron,282.96547619047453,3.4852482218663017e-06,0.002843601895734597,0.24982240113663273,0.0013849531004755805
H2O2tm_Neuron,309.7059523809526,7.803687333956548e-05,0.004739336492890996,0.2536057692307692,0.0019023062998301855
H2Ot_Neuron,367.5238095238115,0.00032115175607926716,0.026540284360189573,0.3074905275429904,0.0030073906188592564
H2Otm_Neuron,422.7357142857109,0.0029909585643625534,0.1004739336492891,0.31815440289505426,0.0032860774557642563
HACD1m_Neuron,417.0595238095199,0.0054927217515707265,0.13744075829383887,0.2842899488008623,0.003313932177921893
HACD9m_Neuron,416.55952380951993,0.005490694627085658,0.13649289099526066,0.2842133620689655,0.003313399372494377
HBZOPT10m_Neuron,299.4103174603211,0.0004399050712513701,0.014218009478672987,0.2285528596187175,0.0026994717242382078
HCO3Em_Neuron,434.03333333332944,0.006010304995700531,0.16208530805687205,0.2891203069334064,0.003326061238965103
HEX1_Neuron,409.8869047619024,0.0018010829429259058,0.07298578199052133,0.3158682634730539,0.0032482141366529786
HIBDm_Neuron,416.44999999999607,0.005473462127857609,0.13554502369668248,0.28459670892905314,0.003312863384186578
HMBS_Neuron,366.5869047619073,0.00036192118946140785,0.027488151658767772,0.2997159090909091,0.003018557121408439
HMGCOASim_Neuron,441.64761904761514,0.0061116253627722565,0.17630331753554504,0.2904735682819383,0.00333144770433417
HMGLm_Neuron,332.1464285714296,0.00036766586007296455,0.015165876777251185,0.26237254414324795,0.002764931791002572
HPROxm_Neuron,416.05952380951993,0.005467507897116328,0.13554502369668248,0.2841368165903582,0.0033124375199954557
Ht_Neuron,454.4095238095159,0.004627580983304687,0.07962085308056872,0.36849458609849806,0.0032692811644271366
Htm_Neuron,474.54047619047236,0.006162832877248354,0.17061611374407584,0.33803268183274593,0.003332852607433669
ICDHxm_Neuron,373.0047619047626,0.0022236979862292595,0.07488151658767772,0.2714175456650373,0.0032461442774410544
ICDHyrm_Neuron,365.80476190476253,0.0016689159762385828,0.06255924170616114,0.2710688591983556,0.003217762388243707
ILETA_Neuron,347.20357142857415,0.00011265566077885615,0.012322274881516588,0.2903137039075399,0.0025683113636738473
ILETAm_Neuron,352.17142857142943,0.0008726590881813215,0.037914691943127965,0.26817488561260805,0.0031082427733530042
ILEt5m_Neuron,271.37261904761607,6.774335440124747e-06,0.002843601895734597,0.23356209873810052,0.0013785285151225164
ILEtec_Neuron,270.32857142857006,9.23326136033204e-07,0.002843601895734597,0.24092258506508335,0.0012887384638314667
IMACTD_m_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.0033248418387395594
ITCOAL1m_Neuron,363.67857142857224,0.0013973410403961386,0.055924170616113746,0.27058220056424725,0.0031978385575438866
ITCOALm_Neuron,378.18571428571437,0.0018732436867975513,0.07962085308056872,0.27367055771725035,0.003254039321346993
Kt1r_Neuron,364.54285714285703,0.0003918657335198248,0.004739336492890996,0.3187311178247734,0.0019094303368292662
L-LACt2r_Neuron,454.4095238095159,0.004627580983304687,0.07962085308056872,0.36849458609849806,0.003269281164427151
L-LACtm_Neuron,474.54047619047236,0.006162832877248354,0.17061611374407584,0.33803268183274593,0.00333285260743361
LCADi_Dm_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.0033248418387395377
LCADim_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.003324841838739553
LCYSTATm_Neuron,351.1214285714295,0.0008938472607879813,0.03696682464454976,0.2676985536665821,0.0031037195710843
LDH_L_Neuron,405.6369047619027,0.0017834137319370632,0.06540284360189573,0.3150194087787399,0.0032325098691610215
LDH_Lm_Neuron,417.5595238095199,0.005489660952862809,0.13838862559241707,0.284366576819407,0.00331444780296177
LEUTA_Neuron,347.20357142857415,0.00011265566082291933,0.012322274881516588,0.2903137039075399,0.0025683113635646937
LEUTAm_Neuron,352.17142857142943,0.0008726600208488643,0.037914691943127965,0.26817488561260805,0.0031082427729812335
LEUt5m_Neuron,271.37261904761607,6.774341848663412e-06,0.002843601895734597,0.23356209873810052,0.001378528514907636
LEUtec_Neuron,270.32857142857006,9.233261843429991e-07,0.002843601895734597,0.24092258506508335,0.0012887384636557757
LSOProd_Neuron,331.88928571428687,0.0007673707495179393,0.021800947867298578,0.2618515760734674,0.0029290700898323536
LYStiDF_Neuron,343.09761904762144,5.475736786362016e-05,0.002843601895734597,0.29819106840022613,0.0013944858361113336
LYStm_Neuron,476.2238095238057,0.006182620249685415,0.17251184834123223,0.3390102827763496,0.003333739293326514
MALSO3tm_Neuron,331.7214285714297,0.00018469313982668012,0.012322274881516588,0.2630922693266833,0.0026335632633520995
MALSO4tm_Neuron,329.94047619047745,0.00010773981809223284,0.01042654028436019,0.2621769383697813,0.002524200832767947
MALTSULtm_Neuron,329.0047619047631,0.0001317843180222548,0.01042654028436019,0.26211180124223604,0.0025243653615055484
MALtm_Neuron,392.87857142857087,0.0011578800698544963,0.05118483412322275,0.31020288150543956,0.0031842257413694616
MCCCrm_Neuron,431.3666666666628,0.005698401032160398,0.16113744075829384,0.2873876327976028,0.0033256332709905635
MDH_Neuron,409.22023809523574,0.0017975985598439996,0.07203791469194314,0.3156792339916218,0.003246309511210403
MDHm_Neuron,420.72619047618656,0.005521062081729331,0.14407582938388627,0.28490413178503915,0.0033175702880969193
ME2m_Neuron,362.8476190476198,0.0016968273239288787,0.05687203791469195,0.27072106748781116,0.003201296899067926
MECOALm_Neuron,378.18571428571437,0.0018732436867975513,0.07962085308056872,0.27367055771725035,0.0032540393213469883
MECOAS1m_Neuron,363.67857142857224,0.0013973410403961386,0.055924170616113746,0.27058220056424725,0.0031978385575438784
MGCHrm_Neuron,377.07142857142867,0.002764586705623552,0.07677725118483412,0.27331606217616583,0.0032504861379928957
MMCDm_Neuron,421.8404761904721,0.005540729335898336,0.14312796208530806,0.28660690029883185,0.0033169836780870656
MMEm_Neuron,286.00198412698455,7.782278868134873e-05,0.002843601895734597,0.22504266211604096,0.001496002202841124
MMMm_Neuron,293.800793650796,8.263946944273134e-05,0.005687203791469194,0.22761596548004315,0.002064357292076237
MMSAD1m_Neuron,374.5523809523815,0.0024004650976617013,0.07867298578199053,0.2717671303451829,0.0032533619580269904
MMSAD3m_Neuron,373.66190476190536,0.0023624477133240636,0.07772511848341232,0.27127796348675753,0.003251608002528694
MTHFCm_Neuron,428.7833333333295,0.005854046275156071,0.15355450236966825,0.2876226826608506,0.0033221835093067984
MTHFDm_Neuron,340.35714285714374,0.0009686456899146577,0.027488151658767772,0.2641462193289935,0.0030182389703106716
NABTNOm_Neuron,431.5333333333295,0.00598295938426108,0.15924170616113745,0.28793668122270744,0.0033248418387395434
NADH2-u10m_Neuron,480.04047619047236,0.006310828863350851,0.18104265402843603,0.3392282958199357,0.0033363486538797783
NDPK10m_Neuron,353.4785714285723,0.00110127082359941,0.04454976303317536,0.2678344757552678,0.0031502672794040086
NDPK1m_Neuron,355.4785714285723,0.0011308095201156942,0.04834123222748815,0.2681067344345616,0.0031675190845278016
NDPK2m_Neuron,353.4785714285723,0.00110127082359941,0.04454976303317536,0.2678344757552678,0.003150267279403988
NDPK3m_Neuron,354.14523809523894,0.0011379258247853205,0.04549763033175355,0.2679705359410719,0.003155097226764517
NDPK4m_Neuron,353.9785714285723,0.001103913504480925,0.04549763033175355,0.2679024885728796,0.0031547170443099806
NDPK5m_Neuron,353.9785714285723,0.001103913504480925,0.04549763033175355,0.2679024885728796,0.0031547170443099893
NDPK6m_Neuron,353.9785714285723,0.0011414432418467909,0.04549763033175355,0.2679024885728796,0.003155102601623697
NDPK7m_Neuron,353.9785714285723,0.001103913504480925,0.04549763033175355,0.2679024885728796,0.0031547170443099845
NDPK8m_Neuron,354.4785714285723,0.001104541193334871,0.046445497630331754,0.2679705359410719,0.0031586669874197337
NDPK9m_Neuron,353.4785714285723,0.00110127082359941,0.04454976303317536,0.2678344757552678,0.0031502672794040116
NH4t3r_Neuron,455.909523809516,0.004632632791305535,0.08151658767772513,0.36913925822253324,0.003272176616461543
NMNATm_Neuron,430.9499999999961,0.005701662511942016,0.16018957345971566,0.2873876327976028,0.0033251275881047418
NNATm_Neuron,426.4499999999961,0.005555350460316072,0.15165876777251186,0.2866847826086957,0.003321259412356919
NTD1m_Neuron,392.3380952380938,0.003414144404008582,0.0985781990521327,0.27726675427069647,0.003281867437417555
NTD2m_Neuron,391.8380952380938,0.0033760746471922336,0.09763033175355451,0.2771939043615344,0.0032807936926548295
NTD5m_Neuron,392.83809523809373,0.003422090920643624,0.0995260663507109,0.2773396424815983,0.0032829063217086783
NaKt_Neuron,466.9095238095163,0.00249895630199009,0.09573459715639811,0.3739808578518256,0.00328717113621365
O2St_Neuron,245.35595238094692,3.1843918529660324e-07,0.0018957345971563982,0.22011266430210724,0.0008126107041661777
O2Stm_Neuron,284.3492063492059,4.242632936325765e-05,0.002843601895734597,0.23197009674582234,0.0013196837330862537
O2t_Neuron,320.11071428571506,4.9631463357653393e-05,0.005687203791469194,0.2776315789473684,0.0020963339895575606
O2tm_Neuron,337.35952380952494,0.0007526185819690605,0.023696682464454978,0.2666835187057634,0.0029659401197334235
OCOAT1m_Neuron,335.6309523809534,0.0003350434504685063,0.014218009478672987,0.2641462193289935,0.0027256485551350987
OIVD1m_Neuron,373.9619047619054,0.002360746474719371,0.07772511848341232,0.27148739063304167,0.0032516663226051434
OIVD2m_Neuron,373.9619047619054,0.0023606080415759945,0.07772511848341232,0.27148739063304167,0.0032516662057157407
