ID,Node_type
OCOAT1m_Neuron,Neuron
OIVD1m_Neuron,Neuron
OIVD2m_Neuron,Neuron
OIVD3m_Neuron,Neuron
ORNTArm_Neuron,Neuron
ORNt3m_Neuron,Neuron
ORNt4m_Neuron,Neuron
ORNtiDF_Neuron,Neuron
P45011A1m_Neuron,Neuron
P5CDm_Neuron,Neuron
PCFLOPm_Neuron,Neuron
PDHm_Neuron,Neuron
PEFLIP_Neuron,Neuron
PEFLIPm_Neuron,Neuron
PETOHMm_hs_Neuron,Neuron
PGL_Neuron,Neuron
PHCDm_Neuron,Neuron
PHCHGSm_Neuron,Neuron
PHEMEtm_Neuron,Neuron
PHETA1m_Neuron,Neuron
PIt2m_Neuron,Neuron
PIt7_Neuron,Neuron
PNTKm_Neuron,Neuron
PPA2m_Neuron,Neuron
PPAt_Neuron,Neuron
PPAtm_Neuron,Neuron
PPBNGS_Neuron,Neuron
PPCOACm_Neuron,Neuron
PPCOAOm_Neuron,Neuron
PPPG9tm_Neuron,Neuron
PPPGOm_Neuron,Neuron
PRGNLONEtm_Neuron,Neuron
PRO1xm_Neuron,Neuron
PROD2m_Neuron,Neuron
PROt2r_Neuron,Neuron
PROtm_Neuron,Neuron
PRPNCOAHYDm_Neuron,Neuron
PSFLIP_Neuron,Neuron
PSFLIPm_Neuron,Neuron
PYLALDOXm_Neuron,Neuron
PYRt2m_Neuron,Neuron
PYRt2r_Neuron,Neuron
RPE_Neuron,Neuron
RPI_Neuron,Neuron
SACCD3m_Neuron,Neuron
SACCD4m_Neuron,Neuron
SARCStm_Neuron,Neuron
SARDHm_Neuron,Neuron
SERGLNexR_Neuron,Neuron
SERGLYexR_Neuron,Neuron
SERt4_Neuron,Neuron
SLDxm_Neuron,Neuron
SPODMm_Neuron,Neuron
SSALxm_Neuron,Neuron
SUCCt2m_Neuron,Neuron
SUCD1m_Neuron,Neuron
SUCOAS1m_Neuron,Neuron
SUCOASm_Neuron,Neuron
SULFOX_Neuron,Neuron
T2M26DCOAHLm_Neuron,Neuron
T4HCINNMFM_Neuron,Neuron
TALA_Neuron,Neuron
TCYNTt_Neuron,Neuron
TCYNTtm_Neuron,Neuron
THD1m_Neuron,Neuron
THFtm_Neuron,Neuron
TKT1_Neuron,Neuron
TKT2_Neuron,Neuron
TMDK1m_Neuron,Neuron
TRDRm_Neuron,Neuron
TYRTAm_Neuron,Neuron
UPP3S_Neuron,Neuron
UPPDC1_Neuron,Neuron
VALTA_Neuron,Neuron
VALTAm_Neuron,Neuron
VALt5m_Neuron,Neuron
VALtec_Neuron,Neuron
VITD2Hm_Neuron,Neuron
VITD2tm_Neuron,Neuron
VITD3Hm_Neuron,Neuron
VITD3tm_Neuron,Neuron
VITD3tm3_Neuron,Neuron
MTDNAploym_Neuron,Neuron
MTDNAdpolym_Neuron,Neuron
DAKm_Neuron,Neuron
DTKm_Neuron,Neuron
DCKm_Neuron,Neuron
DGKm_Neuron,Neuron
NH3tm_Neuron,Neuron
NDPK1_Neuron,Neuron
NACASPtm_Neuron,Neuron
NACASPt_Neuron,Neuron
GGNG_Neuron,Neuron
GLGNS1_Neuron,Neuron
GLBRAN_Neuron,Neuron
GLDBRAN_Neuron,Neuron
SERtm_Neuron,Neuron
UREAt_Neuron,Neuron
UREAtm_Neuron,Neuron
GLNtN1_Neuron,Neuron
DM_4mptnl(m)_Neuron,Sink/Demand Neuron
DM_prgnlone(c)_Neuron,Sink/Demand Neuron
DM_nadph(c)_Neuron,Sink/Demand Neuron
DM_atp(m)_Neuron,Sink/Demand Neuron
sink_chsterol_Neuron,Neuron
DM_1a2425thvitd3_Neuron,Sink/Demand Neuron
DM_1a2425thvitd2_Neuron,Sink/Demand Neuron
sink_vitd3_Neuron,Neuron
sink_vitd2_Neuron,Neuron
CKc_Neuron,Neuron
CREATtmdiffir_Neuron,Neuron
PCREATtmdiffir_Neuron,Neuron
ALATA_L_Neuron,Neuron
ALAtN1_Neuron,Neuron
DM_pchol_hs_Neuron,Sink/Demand Neuron
PSDm_hs_Neuron,Neuron
Kt_Neuron,Neuron
HtrnsEX_Neuron,Neuron
NaEX_Neuron,Neuron
GLCt1r_Neuron,Neuron
Fe2t_Neuron,Neuron
PEPCK_Neuron,Neuron
AA_PIt7_neuron,Neuron
AA_H2Ot_neuron,Neuron
AA2,Exchange
ALDH1L1,Astrocyte
