ID,Node_type
CYANtm,Astrocyte
CYSGLUexR,Astrocyte
CYSGLYex,Astrocyte
CYSGLYexR,Astrocyte
CYSO,Astrocyte
CYSTAm,Astrocyte
CYStec,Astrocyte
CYTK1m,Astrocyte
D-LACt2,Astrocyte
D-LACtm,Astrocyte
DDPGAm,Astrocyte
DECDPtm,Astrocyte
DGNSKm,Astrocyte
DGSNt,Astrocyte
DGSNtm,Astrocyte
DHDPBMTm,Astrocyte
DHFtm,Astrocyte
DMGDHm,Astrocyte
DMGtm,Astrocyte
DPHMBDCm,Astrocyte
DURIK1m,Astrocyte
DUTPDPm,Astrocyte
ECOAH12m,Astrocyte
ECOAH1m,Astrocyte
ECOAH9m,Astrocyte
EHGLATm,Astrocyte
ETF,Astrocyte
ETFQO,Astrocyte
ETOHMO,Astrocyte
ETOHt,Astrocyte
FALDtm,Astrocyte
FCLTm,Astrocyte
FE2t,Astrocyte
FE2tm,Astrocyte
FORt2m,Astrocyte
FPGS2m,Astrocyte
FPGS3m,Astrocyte
FPGS4m,Astrocyte
FPGS5m,Astrocyte
FPGS6m,Astrocyte
FPGS7m,Astrocyte
FPGS8m,Astrocyte
FPGS9m,Astrocyte
FPGSm,Astrocyte
FTHFLm,Astrocyte
FUMSO3tm,Astrocyte
FUMSO4tm,Astrocyte
FUMTSULtm,Astrocyte
FUMm,Astrocyte
FUMtm,Astrocyte
G3PD2m,Astrocyte
G5SDym,Astrocyte
G6PDH2r,Astrocyte
GCALDDm,Astrocyte
GCC2am,Astrocyte
GCC2bim,Astrocyte
GCC2cm,Astrocyte
GCCam,Astrocyte
GCCbim,Astrocyte
GCCcm,Astrocyte
GHMT2rm,Astrocyte
GHMT3m,Astrocyte
GLACOm,Astrocyte
GLCt1r,Astrocyte
GLCt2r,Astrocyte
GLNS,Astrocyte
GLNtm,Astrocyte
GLU5Km,Astrocyte
GLUDxm,Astrocyte
GLUDym,Astrocyte
GLUNm,Astrocyte
GLUTCOADHm,Astrocyte
GLUVESSEC,Astrocyte
GLUt2m,Astrocyte
GLUt6,Astrocyte
GLYATm,Astrocyte
GLYCLTDym,Astrocyte
GLYCt,Astrocyte
GLYCtm,Astrocyte
GLYKm,Astrocyte
GLYOXm,Astrocyte
GLYt2r,Astrocyte
GLYtm,Astrocyte
GND,Astrocyte
GTHOm,Astrocyte
GTHPm,Astrocyte
H2CO3Dm,Astrocyte
H2O2t,Astrocyte
H2O2tm,Astrocyte
H2Ot,Astrocyte
H2Otm,Astrocyte
HACD1m,Astrocyte
HACD9m,Astrocyte
HBZOPT10m,Astrocyte
HCO3Em,Astrocyte
HIBDm,Astrocyte
HMBS,Astrocyte
