ID,total.abs.centrality
DM_10fthf5glu,0.0418448490812513
DM_10fthf6glu,0.041844948642299845
DM_10fthf7glu,0.05078073324852148
DM_5thf,0.041796766516562285
DM_6dhf,0.04184501575479289
DM_6thf,0.04184494850000425
DM_7dhf,0.05078073326838344
DM_7thf,0.050780733229120835
DM_ahcys,0.03743805008731253
DM_atp(c),0.22921046629530095
DM_fald,0.05788050550289442
DM_for,0.05309401148980391
DM_pheme(c),0.051082929375683206
DM_q10(m),0.04850740522545313
DM_thf(c),0.03430694673434613
EX_3aib(e),0.06119314751570123
EX_4abut(e),0.029549248878354178
EX_ac(e),0.029550592455828143
EX_acac(e),0.02950091102916421
EX_acald(e),0.03366292053517862
EX_ala-B(e),0.031828614378614915
EX_arg-L(e),0.02660672893381125
EX_asn-L(e),0.030002625498702466
EX_bhb(e),0.029550592471046844
EX_btn(e),0.020650431897679986
EX_co2(e),0.03625340770221001
EX_crn(e),0.05052653166260736
EX_cyan(e),0.05863012909126237
EX_cys-L(e),0.018511932036346313
EX_etoh(e),0.035885765671330616
EX_fe2(e),0.025000537863712497
EX_glc(e),0.05274511220786783
EX_gln-L(e),0.01758176549310421
EX_glu-L(e),0.021678976372065888
EX_gly(e),0.01611434553083046
EX_glyc(e),0.05921115530503822
EX_h(e),0.014695352424760307
EX_h2o(e),0.040737175116788905
EX_h2o2(e),0.04287903413586581
EX_hco3(e),0.03698077485762263
EX_ile-L(e),0.04241865522670174
EX_k(e),0.01852114417189845
EX_lac-D(e),0.029550592462570094
EX_lac-L(e),0.02954847147717929
EX_leu-L(e),0.04241865272668217
EX_lys-L(e),0.02660811665095611
EX_na1(e),0.01800024940941543
EX_nh4(e),0.02934468307897505
EX_o2(e),0.03494484966754578
EX_o2s(e),0.05339214621164145
EX_orn(e),0.03944155921256908
EX_pe_hs(e),0.031829487341639956
EX_pi(e),0.032991960907586174
EX_ppa(e),0.05887284607335131
EX_pro-L(e),0.029550452533678787
EX_ps_hs(e),0.03182948734276739
EX_pyr(e),0.029582501326502454
EX_sarcs(e),0.06359870569016209
EX_ser-L(e),0.01729783406307989
EX_so4(e),0.036980774850569116
EX_tcynt(e),0.05863012908049712
EX_urea(e),0.0595452794771562
EX_val-L(e),0.04241865521969671
sink_4hpro-LT(m),0.032407422216329744
sink_amet,0.037438050080365146
sink_decdp,0.08820811775417897
sink_dhf(c),0.05078099701072745
sink_dmgly,0.05788050550210724
sink_tyr-L(m),0.0335982679706479
10FTHF5GLUtm,0.06521054515862845
10FTHF6GLUtm,0.06521018959650561
10FTHF7GLUtm,0.08280292491270584
10FTHFtm,0.020006997825742223
"1a,24,25VITD2Hm",1.3644159494841055
"1a,24,25VITD3Hm",1.3644159494850887
"1a,25VITD2Hm",1.364415949487087
"1a,25VITD3Hm",1.3644159494826422
"24,25VITD2Hm",1.3625931783538159
"24,25VITD3Hm",1.362593267730314
25HVITD2t,0.02140421990959322
25HVITD2tin,0.02140421990995438
25HVITD2tin_m,0.025625385447657235
25HVITD2tm,0.025625385447492495
25HVITD3t,0.021404199750195117
25HVITD3tin,0.021404199749745948
25HVITD3tin_m,0.025625994735474368
25HVITD3tm,0.025625994735029734
25VITD2Hm,1.3625931783603478
25VITD3Hm,1.362593267733754
2AMADPTm,0.0230577978915943
2OXOADOXm,0.2056501349974808
2OXOADPTm,0.022146551275193008
34HPLFM,1.1580388370816177
3AIBTm,0.2818812688891277
3AIBt,0.09928082919055378
3AIBtm,0.1915485503041008
3DPHBH1,1.440477708401532
3DPHBH2,1.369690840029971
3HBCDm,0.28345780369275625
3HBCOAHLm,1.5036730051982083
3SALAASPm,0.018156171967907718
3SALATAim,1.1591931604966508
3SPYRSPm,1.3573469226211317
4ABUTtm,0.017684338281353622
4HBZCOAFm,1.505723796308598
4HBZFm,1.5173808911253035
4HGLSDm,1.4246344279585788
5AOPtm,0.02366171487824675
5HOXINDACTOXm,1.4321001571796346
5THFtm,0.06511625991252544
6DHFtm,0.06521040221110339
6THFtm,0.06521018945442612
7DHFtm,0.08280292490050463
7THFtm,0.0828029249005166
AACOAT,0.08505144256841364
AACTOOR,0.12982163090086993
AACTtm,0.020781384920019283
AASAD3m,1.434230281719858
AATAi,0.01680001221043542
ABTArm,0.042490402287746254
ABUTt2r,0.1817081035584707
ACACT10m,0.019874773998852194
ACACT1r,0.045527400574425975
ACACT1rm,0.024606782375930645
ACACt2,0.1848172406492431
ACACt2m,1.6809381365305938
ACALDt,0.04895849653088238
ACALDtm,0.017118174695432302
ACCOALm,0.4169363196063078
ACOAD10m,0.03231892264136052
ACOAD1fm,0.03320635092344233
ACOAD8m,0.032041840338013605
ACOAD9m,0.03231531757846494
ACONTm,0.024359077794892985
ACRNtm,0.03328636414053348
ACSm,0.13603705905158017
ACYP,1.7143181241831598
ACt2m,1.6588571833774544
ACt2r,0.18424336285202214
ADCim,1.1721776770158634
ADK1,0.03212918334182829
ADK1m,0.05694253311510614
ADK3m,0.04009923801201339
ADPRDPm,1.3801891716872863
AGMTm,0.5769190972562352
AGPRim,1.175963406636099
AGTim,0.025260383630584613
AKGDm,0.22482504484885035
AKGMALtm,0.025966399553041815
ALASm,1.2726859541692206
ALCD2if,0.17069792619547278
ALCD2yf,0.1713423503132279
ALDD20xm,1.4321001571925307
ALDD2x,0.18339738242914025
ALDD2xm,1.4318231012300846
ALDD2y,0.18397974331546188
ALR,0.18378460933082888
AMETt2m,0.09467161898160543
AOBUTDsm,1.1851185334078789
APAT2rm,0.04159916396337462
APOC_LYS_BTNPm,0.28324909887827293
