,Gene_ID,Reactions
41,1312.2,"['34DHPHAMT', 'DOPAMT', 'SALMCOM']"
42,117247.1,"['PHEtec', 'TYRt', 'TRPt', '34DHPHEt']"
43,222.1,"['3M4HDXPAC', 'GCALDD', 'r0752', 'r0548', 'r0756', 'MACOXO', '4HOXPACDOX_NADP', '34DHPLACOX_NADP', '34DHXMANDACOX_NADP', 'r0753', 'r0545', 'ALDD2y', '34DHPLACOX', 'LCADi', 'ALDD2x', 'r0754', '3MOX4HOXPGALDOX', 'r0546', 'r0547', 'r0755', 'LCADi_D', 'r0757', '3MOX4HOXPGALDOX_NADP', 'GLACO']"
44,218.1,"['3M4HDXPAC', 'GCALDD', 'r0752', 'r0548', 'r0756', 'MACOXO', 'RE3012R', '4HOXPACDOX_NADP', '34DHPLACOX_NADP', 'RE3346C', 'r0753', 'r0545', 'ALDD2y', '34DHPLACOX', 'LCADi', 'ALDD2x', 'r0754', '3MOX4HOXPGALDOX', 'RE3012C', 'r0546', 'r0547', 'r0755', '34DHXMANDACOX', 'LCADi_D', 'r0757', '3MOX4HOXPGALDOX_NADP', 'GLACO', 'RE3346R']"
45,220.1,"['3M4HDXPAC', 'GCALDD', 'r0752', 'r0548', 'r0756', 'MACOXO', '4HOXPACDOX_NADP', 'r0753', 'r0545', '34DHPLACOX', 'r0754', 'LCADi', 'ALDD2x', '3MOX4HOXPGALDOX', 'r0546', 'r0547', 'r0755', '34DHXMANDACOX', 'LCADi_D', 'r0757', '3MOX4HOXPGALDOX_NADP', 'GLACO']"
46,221.1,"['3M4HDXPAC', 'GCALDD', 'r0752', 'r0548', 'r0756', 'MACOXO', '4HOXPACDOX_NADP', '34DHPLACOX_NADP', '34DHXMANDACOX_NADP', 'r0753', 'r0545', 'ALDD2y', '34DHPLACOX', 'LCADi', 'ALDD2x', 'r0754', '3MOX4HOXPGALDOX', 'r0546', 'r0547', 'r0755', '34DHXMANDACOX', 'LCADi_D', 'r0757', '3MOX4HOXPGALDOX_NADP', 'GLACO']"
47,3242.1,"['34HPPOR', 'PPOR']"
48,18.2,"['3AIBTm', '3AIBtm', 'ABTArm', 'APAT2rm']"
49,18.1,"['ABTArm', 'APAT2rm', '3AIBTm', '3AIBtm', 'r0483']"
50,2531.1,['3DSPHR']
51,23498.1,['3HAO']
52,55268.1,['3HBCDm']
53,883.1,"['RE2349C', '3HKYNAKGAT', 'RE1233C', 'KYNAKGAT']"
54,51166.2,"['AATAi', '3HKYNAKGAT', 'KYNAKGAT']"
55,51166.1,"['3HKYNAKGAT', 'KYNAKGAT', 'RE1233M', 'AATAi', 'RE2349M', 'r0450']"
56,1644.1,"['5HXKYNDCL', 'PHYCBOXL', 'LTDCL', '3HXKYNDCL', 'TYRCBOX', '5HLTDL', '3HLYTCL', 'HISDC']"
57,26275.2,['3HPCOAHYD']
58,26275.1,"['r0596', 'r0779', '3HPCOAHYD']"
59,4129.1,"['41R2A1H12BOOX', 'APRTO2', 'TYROXDAc', 'MACOXO', '3MOXTYROX', '42A12BOOX', 'TRYPTAOX', '5HXKYNOXDA', 'PEAMNO', '3HXKYNOXDA', '41R1H2MAE12BOOX', 'MAOLNOR', '5HOXINOXDA']"
