,Gene_ID,Reactions
10,26275,"['3HBCOAHLm', '3HBCOAHLm_Neuron']"
11,10165,"['ASPGLUm', 'GLUt2m', 'ASPGLUm_Neuron', '3SALAASPm_Neuron', '3SALAASPm', 'GLUt2m_Neuron']"
12,8604,"['ASPGLUm', 'GLUt2m', 'ASPGLUm_Neuron', '3SALAASPm_Neuron', '3SALAASPm', 'GLUt2m_Neuron']"
13,2806,"['3SALATAim_Neuron', 'LCYSTATm', 'PHETA1m_Neuron', 'EHGLATm_Neuron', 'CYSTAm_Neuron', 'ASPTAm', 'LCYSTATm_Neuron', 'TYRTAm_Neuron', 'CYSTAm', 'PHETA1m', 'ASPTAm_Neuron', 'EHGLAT2m', '3SALATAim', 'EHGLAT2m_Neuron', 'EHGLATm', 'TYRTAm']"
14,8659,"['GLACOm', 'LCADim_Neuron', 'LCADi_Dm', 'PHCDm_Neuron', 'ALDD20xm_Neuron', 'HPROxm', '5HOXINDACTOXm', 'BAMPPALDOXm', 'P5CDm_Neuron', 'GCALDDm_Neuron', 'PHCDm', 'IMACTD_m_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', 'LCADi_Dm_Neuron', '4HGLSDm', 'GLACOm_Neuron', 'HPROxm_Neuron', '4HGLSDm_Neuron', 'PYLALDOXm', 'LCADim', 'IMACTD_m', 'BAMPPALDOXm_Neuron', 'P5CDm', 'NABTNOm_Neuron', '5HOXINDACTOXm_Neuron', 'GCALDDm', 'ALDD20xm']"
15,219,"['GLACOm', 'LCADim_Neuron', 'LCADi_Dm', 'ALDD20xm_Neuron', '5HOXINDACTOXm', 'BAMPPALDOXm', 'GCALDDm_Neuron', 'IMACTD_m_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', 'LCADi_Dm_Neuron', 'GLACOm_Neuron', 'PYLALDOXm', 'ALDD2xm', 'LCADim', 'IMACTD_m', 'BAMPPALDOXm_Neuron', 'NABTNOm_Neuron', 'ALDD2xm_Neuron', '5HOXINDACTOXm_Neuron', 'GCALDDm', 'ALDD20xm']"
16,217,"['GLACOm', 'LCADim_Neuron', 'LCADi_Dm', 'ALDD20xm_Neuron', '5HOXINDACTOXm', 'BAMPPALDOXm', 'GCALDDm_Neuron', 'IMACTD_m_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', 'LCADi_Dm_Neuron', 'GLACOm_Neuron', 'PYLALDOXm', 'ALDD2xm', 'LCADim', 'IMACTD_m', 'BAMPPALDOXm_Neuron', 'NABTNOm_Neuron', 'ALDD2xm_Neuron', '5HOXINDACTOXm_Neuron', 'GCALDDm', 'ALDD20xm']"
17,65985,"['AACOAT_Neuron', 'AACOAT']"
18,8639,"['AACTOOR_Neuron', 'AACTOOR']"
19,60496,"['AASAD3m_Neuron', 'AASAD3m']"
20,51166,"['AATAi', 'AATAi_Neuron']"
21,206358,"['GLYt2r', 'GLYt2r_Int', 'PROt2r', 'PROt2r_Neuron', 'ABUTt2r_Int', 'ABUTt2r', 'PROt2r_Int', 'ABUTt2r_Neuron']"
22,38,"['ACACT10m_Neuron', 'ACACT10m', 'ACACT1rm', 'ACACT1rm_Neuron']"
23,39,"['ACACT1r_Neuron', 'ACACT1r']"
24,3030,"['ECOAH1m', 'T2M26DCOAHLm_Neuron', 'ECOAH9m', 'ACACT1rm_Neuron', 'PRPNCOAHYDm_Neuron', 'ECOAH12m_Neuron', 'C2M26DCOAHLm_Neuron', 'T2M26DCOAHLm', 'HACD1m', 'ECOAH12m', 'ACACT1rm', 'PRPNCOAHYDm', 'HACD1m_Neuron', 'C2M26DCOAHLm', 'ECOAH1m_Neuron', 'ECOAH9m_Neuron']"
25,3032,"['ECOAH1m', 'T2M26DCOAHLm_Neuron', 'ECOAH9m', 'ACACT1rm_Neuron', 'PRPNCOAHYDm_Neuron', 'ECOAH12m_Neuron', 'C2M26DCOAHLm_Neuron', 'T2M26DCOAHLm', 'HACD1m', 'ECOAH12m', 'ACACT1rm', 'PRPNCOAHYDm', 'HACD1m_Neuron', 'C2M26DCOAHLm', 'ECOAH1m_Neuron', 'ECOAH9m_Neuron']"
26,6566,"['PYRt2m', 'BTNt2_Neuron', 'D-LACt2_Neuron', 'D-LACt2_Int', 'L-LACt2r_Neuron', 'D-LACt2', 'PYRt2r_Int', 'ACACt2m_Neuron', 'PYRt2r', 'PYRt2r_Neuron', 'BTNt2m_Neuron', 'D-LACtm', 'D-LACtm_Neuron', 'ACACt2_Neuron', 'ACACt2_Int', 'L-LACtm', 'L-LACtm_Neuron', 'L-LACt2r_Int', 'L-LACt2r', 'BTNt2m', 'BTNt2_Int', 'PYRt2m_Neuron', 'ACACt2', 'ACACt2m', 'BTNt2']"
27,9194,"['L-LACtm_Neuron', 'ACACt2_Int', 'L-LACt2r_Int', 'D-LACt2_Int', 'D-LACt2_Neuron', 'L-LACt2r_Neuron', 'D-LACt2', 'L-LACt2r', 'PYRt2r_Int', 'PYRt2r', 'PYRt2r_Neuron', 'ACACt2', 'ACACt2_Neuron', 'L-LACtm']"
28,84532,"['ACCOALm_Neuron', 'ACCOALm', 'ACSm', 'ACSm_Neuron']"
29,34,"['ACOAD9m', 'ACOAD10m_Neuron', 'PPCOAOm_Neuron', 'PPCOAOm', 'ACOAD10m', 'ACOAD1fm_Neuron', 'ACOAD9m_Neuron', 'ACOAD1fm']"
30,36,"['ACOAD10m', 'ACOAD10m_Neuron', 'PPCOAOm_Neuron', 'ACOAD1fm_Neuron', 'PPCOAOm', 'ACOAD1fm']"
31,28976,"['PPCOAOm_Neuron', 'ACOAD1fm_Neuron', 'PPCOAOm', 'ACOAD1fm']"
32,80724,"['PPCOAOm_Neuron', 'ACOAD1fm_Neuron', 'PPCOAOm', 'ACOAD1fm']"
33,27034,"['ACOAD9m', 'PPCOAOm_Neuron', 'ACOAD1fm_Neuron', 'ACOAD9m_Neuron', 'PPCOAOm', 'ACOAD1fm']"
34,3712,"['ACOAD8m_Neuron', 'ACOAD8m']"
35,50,"['ACONTm_Neuron', 'ACONTm']"
36,788,"['C160CRNt_Neuron', 'C160CRNt', 'ACRNtm', 'CRNtim_Neuron', 'ACRNtm_Neuron', 'CRNtim']"
37,97,"['ACYP_Neuron', 'ACYP']"
38,203,"['ADK1', 'ADK1_Neuron']"
39,26289,"['ADK1', 'ADK1_Neuron']"
40,205,"['ADK1m_Neuron', 'ADK3m', 'ADK1m', 'ADK3m_Neuron']"
41,204,"['ADK1m_Neuron', 'ADK1m']"
42,50808,"['ADK3m_Neuron', 'DAKm_Neuron', 'DAKm', 'ADK3m']"
43,53343,"['ADPRDPm_Neuron', 'ADPRDPm']"
44,79814,"['AGMTm', 'AGMTm_Neuron']"
45,5832,"['GCALDDm_Neuron', 'GLU5Km_Neuron', 'LCADim_Neuron', 'AGPRim_Neuron', 'LCADi_Dm_Neuron', 'LCADi_Dm', 'LCADim', 'G5SDym', 'G5SDym_Neuron', 'GCALDDm', 'AGPRim', 'GLU5Km']"
46,64850,"['AGTim', 'AGTim_Neuron']"
47,8402,"['AKGMALtm', 'AKGMALtm_Neuron']"
48,23464,"['GLYATm', 'GLYATm_Neuron', 'ALASm_Neuron', 'ALASm']"
49,211,"['ALASm_Neuron', 'ALASm']"
50,126,"['ALCD2if_Neuron', 'ALCD2if']"
51,124,"['ALCD2if_Neuron', 'ALCD2if']"
52,128,"['ALCD2if_Neuron', 'ALCD2if']"
53,284273,"['ALCD2if_Neuron', 'ALCD2if']"
54,137872,"['ALCD2if_Neuron', 'ALCD2if']"
55,10327,"['ALCD2yf', 'ALCD2yf_Neuron']"
56,223,"['ALDD2y_Neuron', 'ALDD2x', 'ALDD2x_Neuron', 'ALDD2y']"
57,224,"['ALDD2y_Neuron', 'ALDD2x', 'ALDD2x_Neuron', 'ALDD2y']"
58,501,"['ALDD2x', 'ALDD2x_Neuron']"
59,8854,"['ALDD2y_Neuron', 'ALDD2x', 'ALDD2x_Neuron', 'ALDD2y']"
60,220,"['ALDD2x', 'ALDD2x_Neuron']"
61,216,"['ALDD2x', 'ALDD2x_Neuron']"
62,231,"['ALR_Neuron', 'ALR']"
63,115286,"['AMETt2m', 'AMETt2m_Neuron']"
64,113451,"['ARGDCm', 'ARGDCm_Neuron']"
65,9057,"['ARGLYSex_Int', 'ARGLYSex']"
66,6520,"['CYSGLYexR', 'SERGLYexR_Neuron', 'CYSGLYexR_Neuron', 'CYSGLUexR', 'SERGLYexR_Int', 'CYSGLUexR_Neuron', 'ARGLYSex_Int', 'SERGLNexR', 'SERGLNexR_Int', 'SERGLYexR', 'CYSGLUexR_Int', 'CYSGLYex_Int', 'SERGLNexR_Neuron', 'CYSGLYex', 'ARGLYSex']"
67,6541,"['ORNtiDF', 'LYStiDF', 'LYStiDF_Int', 'ORNtiDF_Neuron', 'LYStiDF_Neuron', 'ORNtiDF_Int', 'ARGtiDF', 'ARGtiDF_Neuron', 'ARGtiDF_Int']"
68,84889,"['ORNtiDF', 'LYStiDF', 'LYStiDF_Int', 'ORNtiDF_Neuron', 'LYStiDF_Neuron', 'ORNtiDF_Int', 'ARGtiDF', 'ARGtiDF_Neuron', 'ARGtiDF_Int']"
69,83884,"['ORNt3m', 'ORNt4m_Neuron', 'ARGtm', 'CITRtm_Neuron', 'LYStm_Neuron', 'ORNt3m_Neuron', 'ORNt4m', 'ARGtm_Neuron', 'LYStm', 'CITRtm']"
70,80150,"['ASNNm_Neuron', 'ASNNm']"
71,11254,"['ASNt4', 'SERt4', 'ASNt4_Int', 'ASNt4_Neuron', 'SERt4_Neuron', 'SERt4_Int']"
72,81539,"['ASNt4', 'SERt4', 'ASNt4_Int', 'ASNt4_Neuron', 'SERt4_Neuron', 'SERt4_Int']"
73,54407,"['ASNt4', 'SERt4', 'ASNt4_Int', 'ASNt4_Neuron', 'SERt4_Neuron', 'SERt4_Int']"
74,2805,"['ASPTA_Neuron', 'ASPTA']"
75,521,"['ATPS4m', 'ATPS4m_Neuron']"
76,9551,"['ATPS4m', 'ATPS4m_Neuron']"
77,10476,"['ATPS4m', 'ATPS4m_Neuron']"
78,515,"['ATPS4m', 'ATPS4m_Neuron']"
79,513,"['ATPS4m', 'ATPS4m_Neuron']"
80,498,"['ATPS4m', 'ATPS4m_Neuron']"
81,514,"['ATPS4m', 'ATPS4m_Neuron']"
82,516,"['ATPS4m', 'ATPS4m_Neuron']"
83,509,"['ATPS4m', 'ATPS4m_Neuron']"
84,10632,"['ATPS4m', 'ATPS4m_Neuron']"
85,4905,"['ATPS4m', 'ATPS4m_Neuron']"
86,506,"['ATPS4m', 'ATPS4m_Neuron']"
87,522,"['ATPS4m', 'ATPS4m_Neuron']"
88,292,"['ATPtm_Neuron', 'ATPtm']"
89,291,"['ATPtm_Neuron', 'ATPtm']"
90,293,"['ATPtm_Neuron', 'ATPtm']"
91,3141,"['BTNPLm', 'BTNPLm_Neuron', 'BACCLm_Neuron', 'BACCLm']"
92,140679,"['BALAVECSEC', 'BALAVECSEC_Neuron', 'BALAVECSEC_Int']"
93,622,"['BDHm', 'BDHm_Neuron']"
94,686,"['BTNDm_Neuron', 'BTNDm']"
95,80704,"['BTNt4i_Neuron', 'BTNt4i_Int', 'BTNt4i']"
