ID,Module
GLUt2m,Central
GLYCLTDym,Central
GLYKm,Central
H2Otm,Central
HACD1m,Central
HACD9m,Central
HCO3Em,Central
HIBDm,Central
HMGCOASim,Central
HPROxm,Central
IMACTD_m,Central
LCADim,Central
LDH_Lm,Central
LYStm,Central
MCCCrm,Central
MDHm,Central
MTHFCm,Central
NABTNOm,Central
NMNATm,Central
NNATm,Central
ORNt3m,Central
ORNt4m,Central
P5CDm,Central
PETOHMm_hs,Central
PHCDm,Central
PHCHGSm,Central
PIt2m,Central
PNTKm,Central
PPA2m,Central
PPCOACm,Central
PYLALDOXm,Central
PYRt2m,Central
SACCD3m,Central
SACCD4m,Central
SLDxm,Central
THD1m,Central
TKT2,Central
TMDK1m,Central
TRDRm,Central
VITD2Hm,Central
VITD3Hm,Central
MTDNAdpolym,Central
NH3tm,Central
"1a,24,25VITD2Hm_Neuron",Central
"1a,24,25VITD3Hm_Neuron",Central
"1a,25VITD2Hm_Neuron",Central
"1a,25VITD3Hm_Neuron",Central
"24,25VITD2Hm_Neuron",Central
"24,25VITD3Hm_Neuron",Central
25VITD2Hm_Neuron,Central
25VITD3Hm_Neuron,Central
34HPLFM_Neuron,Central
3DPHBH1_Neuron,Central
3HBCOAHLm_Neuron,Central
3SALATAim_Neuron,Central
3SPYRSPm_Neuron,Central
4HBZCOAFm_Neuron,Central
4HBZFm_Neuron,Central
5HOXINDACTOXm_Neuron,Central
AASAD3m_Neuron,Central
ACACt2m_Neuron,Central
ACt2m_Neuron,Central
ADCim_Neuron,Central
AGMTm_Neuron,Central
AGPRim_Neuron,Central
ALASm_Neuron,Central
ALDD20xm_Neuron,Central
ALDD2xm_Neuron,Central
AOBUTDsm_Neuron,Central
ARGDCm_Neuron,Central
ARGtm_Neuron,Central
ASPNATm_Neuron,Central
BACCLm_Neuron,Central
BAMPPALDOXm_Neuron,Central
BDHm_Neuron,Central
BETALDHxm_Neuron,Central
BHBtm_Neuron,Central
BTNPLm_Neuron,Central
BTNt2m_Neuron,Central
CBLATm_Neuron,Central
CDSm_Neuron,Central
COQ5m_Neuron,Central
COQ7m_Neuron,Central
CYANSTm_Neuron,Central
D-LACtm_Neuron,Central
DGNSKm_Neuron,Central
DHDPBMTm_Neuron,Central
DMGDHm_Neuron,Central
DPHMBDCm_Neuron,Central
FCLTm_Neuron,Central
FE2tm_Neuron,Central
FPGS2m_Neuron,Central
FPGS3m_Neuron,Central
FPGS4m_Neuron,Central
FPGS5m_Neuron,Central
FPGS6m_Neuron,Central
FPGS7m_Neuron,Central
FPGS8m_Neuron,Central
FPGS9m_Neuron,Central
FPGSm_Neuron,Central
G5SDym_Neuron,Central
GCC2am_Neuron,Central
GCC2cm_Neuron,Central
GCCam_Neuron,Central
GCCcm_Neuron,Central
GHMT3m_Neuron,Central
GLACOm_Neuron,Central
GLUDxm_Neuron,Central
GLUTCOADHm_Neuron,Central
HACD1m_Neuron,Central
HACD9m_Neuron,Central
HCO3Em_Neuron,Central
HPROxm_Neuron,Central
IMACTD_m_Neuron,Central
LCADim_Neuron,Central
LDH_Lm_Neuron,Central
LYStm_Neuron,Central
MCCCrm_Neuron,Central
MTHFCm_Neuron,Central
NABTNOm_Neuron,Central
NNATm_Neuron,Central
ORNt3m_Neuron,Central
ORNt4m_Neuron,Central
PETOHMm_hs_Neuron,Central
PHCHGSm_Neuron,Central
PPA2m_Neuron,Central
PPCOACm_Neuron,Central
PRO1xm_Neuron,Central
PYLALDOXm_Neuron,Central
SACCD3m_Neuron,Central
SACCD4m_Neuron,Central
SLDxm_Neuron,Central
SPODMm_Neuron,Central
SSALxm_Neuron,Central
TKT2_Neuron,Central
TRDRm_Neuron,Central
VITD2Hm_Neuron,Central
VITD3Hm_Neuron,Central
MTDNAdpolym_Neuron,Central
ALDH1L1,Central
