,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
G3PD2m_Neuron,0.001645999910504526,0.3155583959877149,-0.00127663780109828,-0.002779788894053314,0.00011044247694861593,-0.0027505535223633134,-0.00048468659534484543,-0.00019163458242610739,-0.00048468659534484543,-0.0017223868236265231,0.6513567310776525,-0.0008131032798284312
G5SDym_Neuron,0.001702808049355364,0.3753472551597832,-0.0012209219756477156,-0.0032947974216147543,0.00012205764899086962,-0.0031723618088726866,-0.0005110615927948597,-0.00047183253264246544,-0.0005110615927948597,-0.001743492557206618,0.16800159814393814,-0.0006542256201287447
G6PDH2r_Neuron,0.0013184669939251702,5.820106424116771e-05,-0.001368359308100945,-0.0025984144071566945,0.000145381381390327,-0.002669153609395743,-0.0012532758588652004,0.0010269222195914568,-0.0012532758588652004,-0.0011392044376048883,0.23586643050881315,-0.000979375040577409
GAPD_Neuron,0.04870763759219169,0.12198442394624325,0.08499150921974344,0.08804392298810246,0.04579802962015264,0.08801593948236412,0.0629188970755783,0.04400953319768408,0.0629188970755783,0.0647590492285324,0.16079262006995557,0.09114151005818198
GCALDDm_Neuron,0.0017988472303904748,0.4064599511901123,-0.0011442948012014037,-0.0032690883330637925,0.00014528771253642268,-0.0031679636221815747,-0.00038569673928666616,-0.0008393295117532659,-0.00038569673928666616,-0.002291418538269105,0.03423031616488452,0.003776691146987636
GCC2am_Neuron,0.0017988472303904748,0.3979623515145302,-0.0011442948012014037,-0.0032690883330637925,0.00014528771253642268,-0.0031674881433422903,-0.00038490555110168973,-0.0008390663225261227,-0.00038490555110168973,-0.002224869871470585,-0.003995218689882737,0.003616768815662064
GCC2bim_Neuron,0.0017866922488209282,0.1419329609875911,-0.0011900649058578694,-0.0016587845708072807,0.00020373589529515315,-0.001946618797828457,-0.00014211918469103253,-0.00039697620377423474,-0.00014211918469103253,-0.001372842151759223,0.25206353075939586,0.0007549323137692424
GCC2cm_Neuron,0.0016757281774249595,0.34084036856818317,-0.00127663780109828,-0.008195193805649635,0.00015699627214284923,-0.003093790817793986,-0.00032521604920413894,-0.00024319744326552483,-0.00032521604920413894,-0.0037516041914898495,0.09096929132612343,-0.0010356228758663616
GCCam_Neuron,0.004120375259963561,0.042153856331268474,-0.0013140114682220754,-0.0030138505031420872,0.0039028806597786662,-0.002868205308235984,9.333225637351044e-05,-0.00014270418398532343,9.333225637351044e-05,-0.0064476274280609305,0.2680226272507858,-0.01059016649983632
GCCbim_Neuron,0.0019131712535086142,0.4266856014160991,-0.0011456661690031735,-0.0041604898630287586,0.00034338374410592017,-0.002990145465897028,0.0001290992326381569,-0.0021718138743083374,0.0001290992326381569,-0.00977788699547957,-0.0005149781535983349,-0.02936323225835967
GCCcm_Neuron,0.0013076322200853596,0.015595428837907334,-0.001368359308100945,-0.0027242776561053348,5.620686475849762e-06,-0.0027222709881528128,-0.0005344478271808341,0.0012176065764029967,-0.0005344478271808341,-0.0010904958958376481,-0.19523046759184157,-0.0010393113351256308
GHMT2rm_Neuron,0.001645999910504526,0.31613147960295623,-0.00127663780109828,-0.0027287321827969167,0.00011044247694861593,-0.0027276184836280064,-0.0004943573717568404,-0.00016795837595625233,-0.0004943573717568404,-0.0015286216508073763,0.019608074551503478,-0.0007370426426115169
GHMT3m_Neuron,0.001295232323507359,0.0,-0.001368359308100945,-0.0027208511064710198,0.000902214483291846,-0.0027146656953954637,0.0013339369413258263,0.001255845546495681,0.0013339369413258263,-0.001561000245052059,-0.3357273764213296,-0.0010153365185013633
GLACOm_Neuron,0.0017476993395143495,6.202826283438975e-05,-0.001368359308100945,-0.002826049890679981,0.0016938328971241666,-0.00272999515464622,0.0061205849403013456,0.00017464545074196485,0.0061205849403013456,-0.0015134153413503624,0.07514350379990302,-0.0009981240753423153
GLNtm_Neuron,0.00291726892375174,0.33957400751330036,-0.0012000076673882435,-0.002949534037259627,0.0032287537361330764,-0.002755544615368069,0.016707364529031404,-0.0032596730610528215,0.016707364529031404,-0.0029190727383354605,-0.2779439663139189,-0.0004855332923494895
GLU5Km_Neuron,0.001702808049355364,0.37095886531604877,-0.0012209219756477156,-0.003294111839974623,0.00012205764899086962,-0.0031722429387856686,-0.0005164245679328341,-0.0004706484831491294,-0.0005164245679328341,-0.0016582438421941803,0.142316938730341,-0.000795278609130278
GLUDxm_Neuron,0.001493497509390984,0.000999122322196866,-0.001368359308100945,-0.003222470354397303,0.0005646758904474604,-0.0030725143870397077,-0.0006913915766839485,0.0005552940091276016,-0.0006913915766839485,-0.002174158329388177,0.009356625689281455,-0.0010669750801579328
GLUDym_Neuron,0.0011277630867730876,0.0002895303801710441,-0.001368359308100945,-0.002685101257351705,-1.761162609476279e-05,0.006573493890570704,0.0011802698328832392,0.0010746285266865006,0.0011802698328832392,-0.001344811902741673,-0.49220879480919943,-0.0010007366651021948
GLUNm_Neuron,0.001645999910504526,0.3198571699273477,-0.00127663780109828,-0.002745179785113378,0.00011044247694861593,-0.002741640899230505,-0.0005413055166632392,-0.00016493311090316258,-0.0005413055166632392,-0.0015156911053562894,0.14016879968212437,-0.0007388864894200345
GLUTCOADHm_Neuron,0.001461237635121153,0.08954394246208347,-0.001287952662351307,-0.0016230610295875322,5.217786419447692e-05,-0.001891154675518051,-0.0003615217406658932,0.0005363625681943022,-0.0003615217406658932,-0.0006370993132760839,0.07619557557178797,-0.001543028279764129
GLUVESSEC_Neuron,0.0014706267774276098,0.12236084597044983,-0.001287952662351307,-0.0017508937561364387,6.379350533345517e-05,-0.0019961463794248013,-0.0005499216342703009,0.0005593694951654259,-0.0005499216342703009,-0.0008250580738817771,0.08193501779014283,-0.0016312775480962019
GLUt2m_Neuron,0.0011560572413223912,1.583733504392107e-06,-0.001368359308100945,-0.002743238044522572,8.739919756208652e-05,-0.0027198943298592138,-0.0012301418532499782,0.0009843400510633482,-0.0012301418532499782,-0.001897966957988977,-0.3081485296369593,-0.0009861369594499772
