,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
2OXOADPTm,0.0012718549884501466,-9.011579117506916e-05,-0.0013681319573330395,-0.0014654512225657232,0.00011010506555247097,-0.0015491975229963292,-8.364431906148322e-06,0.0013467664158815014,-8.364431906148322e-06,-0.0025080856744661363,0.018879150034691355,0.00045221184410534356
34HPLFM,0.001577944010239344,-0.01954183025374204,-0.0013681319573330395,-0.0013786782513948432,0.000358301959511027,-0.0014585797179050381,-0.0001633210879300141,0.004139850634662404,-0.0001633210879300141,-0.0006716783062476802,-0.102335531256736,0.026995502470172204
3AIBTm,0.00333145834601545,-0.0006892221242534388,-0.0013681319573330395,-0.0011406548653747665,0.006959061413484096,-0.0012838439418831826,0.044980642169217606,0.0008133760482160283,0.044980642169217606,-0.0008548761175865871,-0.8402706251907266,0.00714770222883319
3AIBt,0.0015535461979047304,1.0420842519328684e-10,-0.002737562568830785,-0.0026104309135041724,-0.001353853437435928,-0.0026075707912622224,-0.014944582538964938,0.002826604695091602,-0.014944582538964938,-0.0015235069146752925,-0.5046259008188925,0.0009071130854125251
3AIBtm,0.002212513734474919,-2.4442608607665536e-08,-0.0013681319573330395,-0.0011830588678008293,0.004569859346205722,-0.0012945612436045574,0.0324173242085783,0.0010456720115389277,0.0324173242085783,-0.0010906442155208355,0.022537217776343522,0.005156034127807017
3DPHBH1,0.0016418629445479496,-0.024359479150640146,-0.0013681319573330395,-0.0014189489430672753,0.00040116260807841324,-0.0014751482684220443,-5.025482177407606e-05,0.004138683537293915,-5.025482177407606e-05,-0.000774940991259966,-0.3181998418628266,0.03082563302020783
3DPHBH2,0.0016418629445479496,-0.02311920661851675,-0.0013681319573330395,-0.0014139813891715948,0.00040116260807841324,-0.0014710510014299273,-5.1078662613267804e-05,0.004138716051202191,-5.1078662613267804e-05,-0.0007704458105918787,-1.2336255358905592,0.02982968590090696
3HBCDm,0.0016418629445479496,-0.007514843835970514,-0.0013681319573330395,-0.0016105876172180927,0.00040116260807841324,-0.0015546651549486314,-0.00016038208189679572,0.004124719445139552,-0.00016038208189679572,-0.0008983965690239107,-0.6551332714004328,0.002932701434375811
3HBCOAHLm,0.0016418629445479496,-0.025378710366911538,-0.0013681319573330395,-0.0014078653686930096,0.00040116260807841324,-0.001467804598518209,-8.40391614867427e-05,0.004138524586477368,-8.40391614867427e-05,-0.0007896278342504428,-0.4613564353837948,0.03166199358803079
3SALAASPm,0.001577944010239344,5.82354928408475e-06,-0.0013681319573330395,-0.0012003692903689088,0.000358301959511027,-0.0012060469384869536,-0.0007525340811011102,0.0013483959142295582,-0.0007525340811011102,-0.0009344787510414016,-0.5031817269938135,0.0006230537392315465
3SALATAim,0.001577944010239344,-0.01946768689446755,-0.0013681319573330395,-0.0014151717945338287,0.000358301959511027,-0.0014730915594592614,1.0976610366832065e-05,0.0041385701303073025,1.0976610366832065e-05,-0.0008876993045861825,-0.2187316839542399,0.027012671622768183
3SPYRSPm,0.0016418629445479496,-0.023100410001040992,-0.0013681319573330395,-0.0014206420922425003,0.00040116260807841324,-0.001479271687893448,3.618007991999754e-05,0.004138807626716828,3.618007991999754e-05,-0.0009639519267890513,-0.6192243068205431,0.029769426770141667
4ABUTtm,0.001577944010239344,4.432913312568559e-06,-0.0013681319573330395,-0.0010824286308682488,0.000358301959511027,-0.0010640247812632856,-0.001622815105474565,0.001349105472241773,-0.001622815105474565,-0.0004959924068403739,-0.4994007393002551,0.0008431061404076954
4HBZCOAFm,0.0016418629445479496,-0.025597713503183215,-0.0013681319573330395,-0.0014123444154360272,0.00040116260807841324,-0.0014692921746799162,-6.152947980047759e-05,0.004138456135816609,-6.152947980047759e-05,-0.0007944902595062994,-1.5437247502802087,0.03180582653363124
4HBZFm,0.0016418629445479496,-0.02540113109240805,-0.0013681319573330395,-0.0014110790361341993,0.00040116260807841324,-0.001467956207951304,-1.1718170765181108e-05,0.004138124205196011,-1.1718170765181108e-05,-0.0007934374381764095,-1.268124678946542,0.03168390754524653
4HGLSDm,0.0016418629445479496,-0.024334973279992175,-0.0013681319573330395,-0.0014139352610639687,0.00040116260807841324,-0.0014748442979236945,-9.938624656254016e-05,0.0041390917753090116,-9.938624656254016e-05,-0.0007385704434037839,-1.0220209107923364,0.03077491076291833
5AOPtm,0.0016418629445479496,2.1469339279242e-06,-0.0013681319573330395,-0.0012139662487609683,0.00040116260807841324,-0.0012114444027661578,-0.0023355709613550506,0.0013489495150492078,-0.0023355709613550506,-0.0003289296760780687,-1.254826382743592,0.000625923299310501
5HOXINDACTOXm,0.0016418629445479496,-0.024191396322108403,-0.0013681319573330395,-0.0014102135198327268,0.00040116260807841324,-0.0014729693676376295,-0.0001455606858524995,0.0041392535698263335,-0.0001455606858524995,-0.0007279091207445771,-1.1795131357108266,0.030706571081562228
5THFtm,0.002012644297538712,-5.46984514080075e-06,-0.002737562568830785,-0.0028453340201721887,-0.00044512395051029684,-0.00293530899734684,-0.008975792598186233,0.0027181666166419503,-0.008975792598186233,-0.001028047482598408,-0.13241847228260134,0.0009741496801980385
6DHFtm,0.002012644297538712,-5.434108281224461e-06,-0.002737562568830785,-0.002832159044069356,-0.00044512395051029684,-0.002927682906064582,-0.008976031160773687,0.0027182205946348105,-0.008976031160773687,-0.0010293912651585515,-0.37330138579800015,0.0009743560603453917
6THFtm,0.002012644297538712,-5.434766535154178e-06,-0.002737562568830785,-0.002832159044069356,-0.00044512395051029684,-0.002927682906064582,-0.008975968794757209,0.0027182974067737,-0.008975968794757209,-0.0010293884232317647,-1.2088607361440917,0.0009743484023098093
7DHFtm,0.002012644297538712,-1.3094989277312308e-06,-0.002737562568830785,-0.002832159044069356,-0.00044512395051029684,-0.002927682906064582,-0.013318292045001857,0.0027324590411255388,-0.013318292045001857,-0.001029391265256967,-1.715430347210239,0.0009729398284144535
7THFtm,0.002012644297538712,-1.3094989459907785e-06,-0.002737562568830785,-0.002832159044069356,-0.00044512395051029684,-0.002927682906064582,-0.013318292043851022,0.0027324594518894174,-0.013318292043851022,-0.0010293912516086436,-0.3097877291207912,0.0009729398277242604
