,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
PROt2r_Neuron,0.0018392134,0.03083061,0.0032986368,-0.0022090017,0.000113160146,-0.0022628296,3.835162e-05,0.0008532975,3.835162e-05,-0.003723582,-0.36127532,0.020389281
PROtm_Neuron,0.0010289492,2.0637904e-06,-0.0013679103,-0.0005233521,-0.000334201,-6.294702e-05,-0.0023949533,0.0013557898,-0.0023949533,0.0006110969,-0.37724334,0.0002782411
PRPNCOAHYDm_Neuron,0.0013686764,0.00031658533,-0.00033213673,0.002384803,2.4077551e-06,0.00066077797,0.0024867884,0.0012581922,0.0024867884,0.00029526398,0.18212198,0.0004926462
PSFLIP_Neuron,0.0013949645,6.363344e-06,-0.0008501027,-0.004040193,0.00026637653,-0.0047453158,0.0008017323,0.00024883743,0.0008017323,0.00033807827,-0.3919327,-0.00014877265
PSFLIPm_Neuron,0.0013789856,3.2676667e-06,-0.0008501027,-0.0026446779,0.00024728986,-0.003596595,0.0004579171,0.00023456526,0.0004579171,0.000622271,-0.32358748,-0.000176723
PYK_Neuron,0.047117252,0.001791806,0.007980069,0.017858617,0.05349225,0.018780021,0.04905068,0.037957765,0.04905068,0.055287234,0.290246,5.1937826e-05
PYLALDOXm_Neuron,0.0016988758,0.026648724,0.0022603162,-0.0008781526,8.186142e-05,-0.0008760876,-0.000115404975,0.0011035345,-0.000115404975,-0.0017658803,0.061051738,0.016832937
PYRt2m_Neuron,0.0022122357,0.025542937,0.0022603162,0.0004608399,0.0008488286,0.0008242493,0.0028647925,0.0010428698,0.0028647925,-0.0016409594,-0.6011231,0.01676715
PYRt2r_Neuron,0.0017589977,0.030659897,0.0027793124,-0.0024331112,9.3383554e-05,-0.0024503388,-1.616646e-05,0.0010007638,-1.616646e-05,-0.0029499365,-0.16962938,0.020239543
RPE_Neuron,0.0016567891,0.0017576235,0.0012227942,0.00055677234,0.0002471179,0.0013258928,-9.287362e-05,0.0010380577,-9.287362e-05,0.001163853,-0.5912644,0.0014226268
RPI_Neuron,0.0013126621,0.00011711543,-0.0008501027,0.0001742079,-1.616646e-05,-0.0026583758,0.00017885087,0.0013006342,0.00017885087,1.3758605e-06,0.112151526,0.0003975691
SACCD3m_Neuron,0.001498738,0.0028646209,0.000704269,-4.291031e-05,3.1128522e-05,0.00019415535,0.00018504146,0.0012136869,0.00018504146,7.807801e-05,-0.37587345,0.001947764
SACCD4m_Neuron,0.0017390718,0.004495666,0.0022603162,-0.0007300791,0.00010181013,-0.0005827949,0.00019346751,0.0010165751,0.00019346751,0.00020567658,0.21559684,0.0036033483
SARCStm_Neuron,0.0014485703,0.0028986055,-0.0008501027,-0.002298228,0.00023955194,-0.0024937526,0.00022837488,0.0011549171,0.00022837488,-0.0031431366,-0.17740846,0.000789872
SARDHm_Neuron,0.0014387771,0.0081634065,0.00018590127,-0.0010525737,1.7198163e-05,-0.0010366538,-0.00016253276,0.0011825839,-0.00016253276,-0.00032740613,0.12615666,0.004297116
SERGLNexR_Neuron,0.0014387771,0.008745757,0.00018590127,-0.0011151364,1.7198163e-05,-0.0011032604,-0.00015986673,0.0011820683,-0.00015986673,-0.00047655663,-0.46752304,0.0044377153
SERGLYexR_Neuron,0.0010124504,1.7198255e-06,-0.0013679103,-0.001427474,-0.00017388494,-0.0014582037,-0.0001848932,0.0013554463,-0.0001848932,-0.0009914766,-0.31468207,0.00010421772
SERt4_Neuron,0.0012241689,0.0,-0.0013679103,-0.001941442,0.0007389921,-0.002150525,0.0026907376,0.0013509789,0.0026907376,-0.001408193,-0.33902854,0.00019432731
SLDxm_Neuron,0.0016550712,4.987488e-06,-0.0013679103,-0.0021871265,0.0014944428,-0.002624433,0.009855947,0.0011353266,0.009855947,-0.0013219481,-0.21531154,0.00069309556
SPODMm_Neuron,0.002063691,0.03210443,0.002779484,-0.0008044151,0.0007367575,-0.0012820982,6.449205e-05,0.00077285495,6.449205e-05,-0.0033062825,-0.084994234,0.01963518
SSALxm_Neuron,0.0020640343,2.012183e-05,-0.0022195948,0.048309922,-0.0008711831,0.037564214,-0.006138115,0.0026964024,-0.006138115,0.006056537,-0.00022032659,0.00097137486
SUCCt2m_Neuron,0.0010124504,6.879304e-07,-0.0013679103,-0.001437545,-0.00017388494,-0.0013991551,0.0008431565,0.00135957,0.0008431565,-0.0006518755,-0.47187954,0.00010352984
SUCD1m_Neuron,0.0010124504,1.7198255e-06,-0.0013679103,-0.0014312614,-0.00017388494,-0.0014627659,0.00050519657,0.0013535562,0.00050519657,-0.0009664362,-0.5632933,0.00010335787
SUCOAS1m_Neuron,0.0017790949,0.027509358,0.002779484,-0.002580843,0.00010060634,-0.002744442,-3.095721e-05,0.00096020347,-3.095721e-05,-0.0043874066,-0.3107012,0.018196102
SUCOASm_Neuron,0.0010323863,6.879304e-07,-0.0013679103,-0.0014007045,-0.00016141475,-0.0008464029,-0.00055715936,0.0013549308,-0.00055715936,-2.2185932e-05,-0.10242649,0.00011814724
SULFOX_Neuron,0.0016988758,0.025667965,0.0022603162,-0.0007669885,8.186142e-05,-0.00075752445,-0.00011832891,0.0011038781,-0.00011832891,-0.0014851463,-0.39306542,0.016270848
T2M26DCOAHLm_Neuron,0.0024028313,0.00089300144,-0.0011836401,0.00026465702,-0.00036568145,0.00051465223,-0.004790179,0.0025128846,-0.004790179,0.0020028949,-0.31448755,0.0012298395
