X1,index,shadow_prices
0,10fthf[cA],0.8811430000198512
0.0698461971243448,10fthf5glu[cA],0.6844697147954495
0.12792826379844863,10fthf6glu[cA],0.5605912270522347
0.1734156619721796,10fthf7glu[cA],0
0.20953859137303435,13dpg[cA],0.48338829967797925
0.23908978409777323,23dpg[cA],0.48338829967797936
0.26394108215411777,25hvitd2[cA],0
0.28531738499401105,25hvitd3[cA],0
0.3040401292647275,2oxoadp[cA],0.5914342438675797
0.3206790181289758,2pg[cA],0.4676098310089175
0.3356422594195896,3aib[cA],0.5477556513760345
0.34923098562172394,3mob[cA],0.583958704115331
0.3616730464941305,3mop[cA],0.6251540542968042
0.37314467231596055,3pg[cA],0.4676098310089175
0.3837847913953459,3php[cA],0.41093720457206695
0.3937047606329823,3sala[cA],0.45179259482124984
0.40299514710738465,4abut[cA],0.5477556513760344
0.41173056209689984,4mop[cA],0.6360263641378494
0.4199731770544139,5aop[cA],0.565519439670366
0.42777532760116593,5thf[cA],0.6925224694712914
0.4351814737372846,6dhf[cA],0.8484953837829755
0.4422296972732133,6pgc[cA],0.6194390850523773
0.4489528610700797,6pgl[cA],0.6194390850523773
0.45537951740130844,6thf[cA],0.5763091354919028
0.46153462763970454,7dhf[cA],0.8811430000198512
0.46744013825994357,7thf[cA],0.16424915769487522
0.47311544615023776,L2aadp[cA],0.6024110600384172
0.4785777777405414,aacoa[cA],0.547608359033464
0.48384250036716336,aact[cA],0.4863813040765308
0.48892337987041357,ac[cA],0.4204916801540464
0.4938327951693035,acac[cA],0.5367035913344428
0.4985819181388181,acald[cA],0.47465286365127896
0.5031808652982438,accoa[cA],0.42464555663166564
0.5076388264406243,acrn[cA],0.3222786428930818
0.5119641742782148,adp[cA],0.10644681498513138
0.5161645583641495,ahcys[cA],0.22250606701197834
0.5202469859165388,akg[cA],0.5383675231708629
0.524217891674097,ala-B[cA],0.4782003261619069
0.5280831985198374,amet[cA],0
0.5318483702972955,amp[cA],0.18872858232056008
0.5355184579940717,arg-L[cA],0
0.539098140266545,asn-L[cA],0.4685774961377435
0.5425917591169658,asp-L[cA],0.4433586167585869
0.546003351401781,atp[cA],0
0.5493366767417746,bhb[cA],0.5529963251135512
0.5525952423156208,btn[cA],1.9684061062871184e-15
0.5557823249449558,cbl2[cA],0
0.5589009908181105,cdpdag_hs[cA],0.22231388868064492
0.5619541131488772,chsterol[cA],0
0.564944388024203,cit[cA],0.5575796612289103
0.5678743486590465,citr-L[cA],0
0.5707463782465829,co2[cA],0
0.5735627215665188,coa[cA],0
0.5763254954927126,cpppg3[cA],0.9376058439599648
0.5790366985229263,crn[cA],0.4999915807616272
0.5816982194378449,cyan[cA],0
0.584311845183064,cys-L[cA],0.48278998437508996
0.5868792680561901,decdp[cA],0
0.5894020922712572,dgsn[cA],0
0.5918818399640539,dhap[cA],0.5170933926208766
0.5943199566945176,dhf[cA],0
0.5967178164958801,dmgly[cA],0.4937981958810402
0.5990767265146144,duri[cA],0
0.6013979312803309,e4p[cA],0.5652010013473117
0.6036826166404575,etoh[cA],0.5162844292360746
