X1,index,fluxes,reduced_costs,Reaction,Node
0.6132154792366634,10FTHF5GLUtm,0,0,10fthf5glu[mA] --> 10fthf5glu[cA],Astrocyte
0.6151924118226808,10FTHF6GLUtm,0,0,10fthf6glu[mA] --> 10fthf6glu[cA],Astrocyte
0.6171424665721122,10FTHF7GLUtm,0,0,10fthf7glu[mA] --> 10fthf7glu[cA],Astrocyte
0.6190663642802382,10FTHFtm,0,0,10fthf[cA] <=> 10fthf[mA],Astrocyte
0.6209647971407682,"1a,24,25VITD2Hm",0,0,2425dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6228384302388311,"1a,24,25VITD3Hm",0,0,2425dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6246879029478346,"1a,25VITD2Hm",0,0,1a25dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6265138302375257,"1a,25VITD3Hm",0,0,1a25dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6283168038999359,"24,25VITD2Hm",0,0,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6300973936993227,"24,25VITD3Hm",0,0,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6318561484516863,25HVITD2t,0,0,25hvitd2[cA] --> 25hvitd2[e],Astrocyte
0.633593597038977,25HVITD2tin,0,0,25hvitd2[e] --> 25hvitd2[cA],Astrocyte
0.6353102493626744,25HVITD2tin_m,0,0,25hvitd2[cA] --> 25hvitd2[mA],Astrocyte
0.6370065972410356,25HVITD2tm,0,0,25hvitd2[mA] --> 25hvitd2[cA],Astrocyte
0.6386831152539568,25HVITD3t,0,0,25hvitd3[cA] --> 25hvitd3[e],Astrocyte
0.640340261539079,25HVITD3tin,0,0,25hvitd3[e] --> 25hvitd3[cA],Astrocyte
0.6419784785424691,25HVITD3tin_m,0,0,25hvitd3[cA] --> 25hvitd3[mA],Astrocyte
0.6435981937269567,25HVITD3tm,0,0,25hvitd3[mA] --> 25hvitd3[cA],Astrocyte
0.6451998202409551,25VITD2Hm,0,0,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
0.646783757550386,25VITD3Hm,0,0,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
0.6483503920361208,2AMADPTm,0,0,L2aadp[cA] + akg[mA] <=> L2aadp[mA] + akg[cA],Astrocyte
0.6499000975591724,2OXOADOXm,0,0,2oxoadp[mA] + coa[mA] + nad[mA] --> co2[mA] + glutcoa[mA] + nadh[mA],Astrocyte
