ID,Module
ACONTm,Central
ACRNtm,Central
ACSm,Central
ACt2m,Central
ACt2r,Central
ADCim,Central
ADK1,Central
ADK1m,Central
ADK3m,Central
AGMTm,Central
AGPRim,Central
AGTim,Central
AKGMALtm,Central
ALASm,Central
ALCD2if,Central
ALDD20xm,Central
ALDD2x,Central
AMETt2m,Central
AOBUTDsm,Central
APAT2rm,Central
APOC_LYS_BTNPm,Central
APOCFm,Central
ARGDCm,Central
ARGLYSex,Central
ARGtiDF,Central
ARGtm,Central
ASNNm,Central
ASNtm,Central
ASPTA,Central
ASPTAm,Central
BACCLm,Central
BALAVECSEC,Central
BALAtmr,Central
BAMPPALDOXm,Central
BDHm,Central
BETALDHxm,Central
BHBt,Central
BHBtm,Central
BTNDm,Central
BTNPLm,Central
BTNt2,Central
BTNt2m,Central
BTNt4i,Central
C160CPT2,Central
C160CRNt,Central
C204CPT2,Central
C226CPT2,Central
C2M26DCOAHLm,Central
CATm,Central
CBLATm,Central
CDPDAGtm,Central
CDSm,Central
CHSTEROLt3,Central
CITRtm,Central
CITtam,Central
CITtbm,Central
CK,Central
CO2tm,Central
COQ3m,Central
COQ5m,Central
COQ6m,Central
COUCOAFm,Central
CPPPGO,Central
CRNt,Central
CRNtim,Central
CSNAT2m,Central
CSNATm,Central
CSm,Central
CYANSTm,Central
CYANt,Central
CYANtm,Central
CYSGLYex,Central
CYSGLYexR,Central
CYSTAm,Central
CYStec,Central
CYTK1m,Central
D-LACt2,Central
D-LACtm,Central
DDPGAm,Central
DECDPtm,Central
DGSNt,Central
DGSNtm,Central
DHDPBMTm,Central
DHFtm,Central
DMGDHm,Central
DMGtm,Central
DPHMBDCm,Central
DUTPDPm,Central
ECOAH12m,Central
ECOAH1m,Central
ECOAH9m,Central
EHGLAT2m,Central
EHGLATm,Central
ETFQO,Central
ETOHt,Central
FALDtm,Central
FCLTm,Central
FE2t,Central
FE2tm,Central
FORt2m,Central
FPGS2m,Central
FPGS3m,Central
FPGS4m,Central
FPGS5m,Central
FPGS6m,Central
FPGS7m,Central
FPGS9m,Central
FPGSm,Central
FTHFLm,Central
FUMSO3tm,Central
FUMSO4tm,Central
FUMTSULtm,Central
FUMm,Central
FUMtm,Central
G5SDym,Central
G6PDH2r,Central
GCALDDm,Central
GCC2am,Central
GCC2cm,Central
GCCam,Central
GCCcm,Central
GHMT2rm,Central
GHMT3m,Central
GLACOm,Central
GLNtm,Central
GLU5Km,Central
GLUDxm,Central
GLUTCOADHm,Central
GLUt2m,Central
GLYATm,Central
